"group","size","logsize","score","simple.x","simple.y","group.offset","complicated.x","complicated.y"
"CHD1_CEBPB",15413359,30.2224775556499,15.12,23535,0.606920674706274,-552.107663141124,23535,1.40463535082044
"CHD1_ATF3",6305731,29.2324084275004,16.39,16125,0.627571883071401,-517.403642857148,16125,0.783564755889616
"CHD1_CHD1",11846730,29.9399736853536,122.7,21406.5,1.9222200636083,-361.402613122177,21406.5,0.547076873945676
"CHD1_CHD1",7057914,29.3631659952563,214.8,17073.5,2.79246186184595,-361.402613122177,17073.5,1.62131022879675
"CHD1_ATF3",10693953,29.8284704176346,9.779,20529,0.521079554923483,-517.403642857148,20529,0.729164661468836
"CHD1_BHLHE40",23537156,30.6675237013673,50.7,26906,1.10881278742671,-478.156564171125,26906,0.742165210534317
"CHD1_CEBPB",1575981,27.1255203468998,61.86,5084,1.24483845699987,-552.107663141124,5084,2.29798837159122
"CEBPB_BHLHE40",3095485,27.5783162221833,35.03,6829,0.905974735898576,-532.181410566117,6829,1.4040571490119
"CEBPB_ATF3",3103812,27.6021730904525,53.42,6944,1.14407586439548,-494.819169371201,6944,0.956141994616596
"CEBPB_ATF3",3345651,28.1237425584778,135.3,9416,2.06114032113759,-494.819169371201,9416,2.56488491961937
"CEBPB_ATF3",3095465,27.5782582315023,111.8,6828,1.80067002054387,-494.819169371201,6828,2.18388810420599
"CEBPB_ATF3",4874679,29.3961793401593,69.99,17318,1.33696112243447,-494.819169371201,17318,1.33489654819437
"CEBPB_ATF3",5026454,29.4651961589034,53.58,17795,1.14620176575124,-494.819169371201,17795,0.958447596507977
"CEBPB_CEBPB",4982897,29.4458719610954,212.5,17660.5,2.76769279373354,-438.271190234712,17660.5,2.85575632501525
"CEBPB_CEBPB",6200110,29.8810717883044,190,20955.5,2.58273764720881,-438.271190234712,20955.5,2.5363130761069
"CEBPB_CEBPB",3119602,27.6459057421286,30.81,7144.5,0.849261820806429,-438.271190234712,7144.5,0.523486972618532
"CEBPB_CEBPB",4126269,28.9617832507501,176.8,14327.5,2.47216364848528,-438.271190234712,14327.5,2.31703816513088
"CEBPB_CEBPB",6986352,30.0864000460767,194.9,22507.5,2.62126460173133,-438.271190234712,22507.5,2.60961797545015
"CEBPB_CEBPB",5158937,29.5217770667758,267.8,18205.5,3.19636079892137,-438.271190234712,18205.5,3.49753761327117
"CEBPB_CEBPB",6324513,29.9165005895743,201.1,21228.5,2.67058321606068,-438.271190234712,21228.5,2.69885062278275
"CEBPB_ATF3",3021241,27.3359047766117,137.9,5830,2.08988672797789,-494.819169371201,5830,2.60294260982374
"CEBPB_ATF3",2841568,26.2456777336529,48.74,2709,1.0849297862208,-494.819169371201,2709,0.887995343011825
"CEBPB_CEBPB",9694071,30.5806402229079,164.9,26244.5,2.35450154843084,-438.271190234712,26244.5,2.13165710068787
"CEBPB_BHLHE40",3119028,27.6443490176609,41.87,7136,0.995852964364694,-532.181410566117,7136,1.57551645890691
"CEBPB_BHLHE40",7064188,30.1046091721621,22.55,22629,0.724948891031389,-532.181410566117,22629,1.0661772476678
"CEBPB_CEBPB",12455245,30.9154427383826,118.3,28692.5,1.87260654884474,-438.271190234712,28692.5,1.10855972537455
"CEBPB_BHLHE40",5656800,29.7096864158027,40.2,19604,0.97451607815462,-532.181410566117,19604,1.53462988784729
"CEBPB_CEBPB",11148983,30.7708774170491,147.8,27668.5,2.1847042188041,-438.271190234712,27668.5,1.82326811919765
"CEBPB_CEBPB",5672019,29.7149094727025,183.5,19649.5,2.5251925250802,-438.271190234712,19649.5,2.42652099757317
"CEBPB_CEBPB",15952468,31.2231962178726,101.5,30750.5,1.68936190670845,-438.271190234712,30750.5,0.842587540560228
"CEBPB_BHLHE40",8642228,30.4163709951755,27.48,25038,0.79827997671066,-532.181410566117,25038,1.18676543644143
"CEBPB_CEBPB",10115446,30.6395565033951,159.7,26680.5,2.3027377868431,-438.271190234712,26680.5,2.04152420761021
"CEBPB_ATF3",4600382,29.2579093963,66.09,16307,1.28991517426864,-494.819169371201,16307,1.21924521284617
"CEBPB_ATF3",5274604,29.5686869761923,44.86,18546,1.03607607866004,-494.819169371201,18546,0.841947751474919
"CEBPB_BHLHE40",8486572,30.3895958937073,13.82,24855,0.58653718515272,-532.181410566117,24855,0.921677176443781
"CEBPB_CEBPB",3099221,27.5890903177126,320.9,6875.5,3.47678884817379,-438.271190234712,6875.5,3.88076897457134
"CEBPB_ATF3",3498565,28.3524488792506,50.82,10619,1.11040855265598,-494.819169371201,10619,0.916777566566685
"CEBPB_ATF3",4139228,28.9711592475599,101.5,14397,1.68936190670845,-494.819169371201,14397,2.01105470880391
"CEBPB_ATF3",6178067,29.8746611156482,68.52,20899,1.31856284648682,-494.819169371201,20899,1.2896118774297
"CEBPB_ATF3",8463801,30.3856181394709,42.07,24826,0.998569373133908,-494.819169371201,24826,0.811521492823582
"CEBPB_CEBPB",9130323,30.4959632106249,129.5,25608.5,1.99742207729972,-438.271190234712,25608.5,1.41868245037433
"CEBPB_CEBPB",3469227,28.3124355774945,22.15,10381.5,0.718435665452365,-438.271190234712,10381.5,0.512719859388959
"CEBPB_CEBPB",6889117,30.0631767213276,99.48,22329.5,1.66514375332625,-438.271190234712,22329.5,0.820340108601943
"CEBPB_CEBPB",15792761,31.2110251541888,112.3,30664.5,1.80685665285234,-438.271190234712,30664.5,0.991364454387369
