"x.prod","y.prod","x.sum","y.sum"
6398,18604.116281711,18377,17353.291123341
4044,10418.1505831531,8936,9600.48651681582
5380,18432.1437956686,14138,17367.0646872466
749,8796.58874942381,473,8633.21352900317
457,33430.4908080705,137,33329.2774584145
2773,23921.8580827222,4459,23344.3358012898
1644,31325.2179638131,1947,30975.7961341455
1214.5,13799.1406055905,1150.5,13538.1004013144
2256,37186.865853781,3121,36711.9022247499
2424,18692.5258527036,3532,18183.9954966049
3160,17680.1562224217,5688,17028.1598604889
1983,19662.8762647735,2546,19243.3961862384
3050,15449.9602391184,5371,14819.4585892819
5431,11169.5942725476,14364,10095.3472533345
9096,20331.7764537746,27215,18564.4746713786
2987,21776.993148339,5154,21158.4442669636
696,27118.5827875265,402,26966.3892791808
1595.5,18545.9021363461,1867.5,18206.5659577201
5957,13855.7619948227,16623,12686.2337745745
10166,16140.6147079519,30208,14163.3138977015
8221,29372.9934809581,24404,27773.7506352053
301.5,32728.8667949907,38.5,32661.5687661481
2510,16643.4106355827,3748,16117.753918934
8198.5,20076.8895360132,24304.5,18481.69343527
2075.5,19914.4777195927,2751.5,19476.3060287823
1202,21772.7651339533,1131,21514.3343156923
1933,19515.8179358589,2463,19106.7249239142
5085,29084.718675511,13040,28074.782170932
2094.5,28381.1243773005,2786.5,27939.0405315952
11135,15003.5348167884,32266,12829.4701767804
4399,16665.0540452697,10519,15783.6736985935
7915,21745.4707987089,23407,20204.8597000712
7959,15971.8280387117,23567,14422.9542256385
3814,29347.1917635617,7973,28571.4407023893
5417,33362.8680500838,14295,32291.0674397076
5236,27465.7397918484,13574,26427.2948034551
5817,28724.154199167,16095,27580.725537326
7160,33371.2124311347,21064,31976.4449781282
774,20901.2008003053,500,20732.4856619256
1163,29561.3692839734,1067,29311.0478483184
3338,13116.0964572589,6305,12430.3680415164
5714,22216.3184124438,15556,21090.5717640532
4326,27687.4349403157,10223,26819.454816589
8921,18536.6776643716,26664,16803.1007388378
3505,12488.342025642,6875,11770.8765662401
9019,25512.2243642949,26984,23759.8770113704
7174,19625.9784296826,21128,18228.7140903689
2886,20140.3580387496,4796,19540.8694555463
5264,33404.8833849226,13695,32361.3739554564
8516,34871.3670593046,25385,33215.8004369031
932,32929.1922811445,742,32727.4492757198
2752,13041.3687554287,4396,12467.9249547612
1553,16193.2959533551,1781,15862.6277582005
2559,21515.516456955,3848,20979.868796967
11721,22105.3875139013,33577,19813.0011533675
4324,17527.8190873435,10208,16660.1365309097
484,24349.4164262793,175,24242.5252093951
10317,22575.6032047842,30585,20568.2089181513
10294,19207.4512262856,30501,17204.3724147462
11214,19825.699119104,32408,17635.3325509488
10709,23178.4258545917,31395,21091.2049761855
11037,23387.7878220345,32079,21233.8363101279
963,19644.180986454,785,19435.9125918635
1586,16995.0963946499,1859,16657.807152918
626,20123.0067720238,299,19985.4884174262
494,16135.2521082368,181,16026.1764657974
3824,14587.6804688712,8016,13810.1185154241
3711,39922.8500473267,7595,39166.4063741491
2409,16162.7249724475,3502,15657.2592493062
5374,30590.4865242135,14081,29526.1789717415
5156,21357.4626056313,13313,20334.3426814433
4184,33295.6388682089,9597,32453.217944175
14100,28600.2736522622,36835,25806.6932635938
9171,20375.1671628749,27507,18593.9757758493
6888,17907.0552771688,20113,16563.750969038
8405,22368.2995010332,24984,20733.6040690786
10794,22492.8206726163,31569,20388.2739227612
12152,17342.8418562003,34550,14963.5189751995
10691,16203.7490332549,31362,14120.2360008797
336.5,2129.63459862716,61.5,2054.71127132974
5746,36227.8592454888,15728,35096.6650268148
6677,22400.6157573699,19411,21097.5938811679
11567,24760.1530119152,33220,22498.7355372011
15674,19968.1335476054,37988,16832.8304966187
11368,28406.2519037778,32798,26185.2496011071
7846,19299.2241843823,23266,17772.6801108664
4946,31211.5240094135,12580,30228.1490569863
9584,24486.1534299188,28774,22625.0345950166
6455,13318.9410708027,18565,12057.2173737555
11681,19393.3767494665,33480,17108.9911200865
1447,8631.71590231597,1550,8322.51263233951
766,35282.3968121834,493,35115.4070041608
5924,25402.6414854857,16466,24238.9367677838
3078.5,17159.2198856177,5451.5,16523.1326772728
5599,39485.4925033426,15094,38380.8992196687
5208,23463.1059732407,13479,22429.9879087659
8180,23257.8747120249,24239,21666.1706036815
5692,25923.5636273845,15454,24801.7262353422
938,10411.1135482894,759,10208.195167152
7614,20636.646117804,22588,19155.3412649654
