"x.prod","y.prod","x.sum","y.sum"
36090,35463.2331404686,37495,29530.3574918408
32321.5,29652.165349008,30627.5,24977.1863963162
29202,45008.5348187892,25204,41318.3192120987
34997,34331.9036502584,35787,28702.4910496496
33814.5,34687.1802036496,33566.5,29466.6576663906
27215,44940.7582674496,22338,41750.53162318
28883,39838.8329772011,24692,36240.106123311
36835,28032.652964831,38260,21979.2527337734
34354.5,33677.4194525002,34788.5,28225.199184033
30633,38981.3667034593,27756,34825.5542338513
32743,30369.0491468922,31318,25570.1603445272
28510.5,31772.4880270086,24087.5,28282.027648658
34626,26015.0978484048,35244,20480.7436599718
13436.5,14710.8583818138,10756.5,13194.6372098759
8657,34806.1313889877,9062,33368.2979717183
27553,31724.727071702,22742,28467.5100409254
26919,43528.3754745981,22012,40390.8038887303
26103,35046.3701110085,20986,32081.4818524624
31038,43085.7704457549,28544,38783.9708835322
27092,41950.9615509509,22193,38784.6767564635
10172,42584.6141799144,9525,41137.9609633775
30296,33543.6475305843,27101,29509.1607107491
34926,31976.7594703433,35689,26364.2592991088
11230,42010.9557180052,9871,40553.2424388937
17403,41143.4456694945,12773,39430.2159894378
1548,40635.2080888653,812,40552.9109003786
2342,40254.4060990634,1280,40118.758983727
1519,40800.5320927683,795,40720.1633003571
5785,38017.5405781303,4830,37321.7412897325
6054,35108.9009389737,5308,34325.951786484
1265,24366.92153438,665,24299.3567346512
586,40563.7938436026,343,40524.9387893193
1588.5,34403.9266269745,842.5,34317.474882843
8929.5,31852.9234901747,11430.5,29919.3587365712
7084.5,35038.2341270035,7119.5,33925.6752179595
10551.5,31357.1065768587,15408.5,28661.103813638
5274,32398.1071083163,4058,31838.4473721116
6473,31720.7661815293,6045,30803.7015936917
10386.5,26595.2339653386,14997.5,23978.1605721361
2763,40587.2227340019,1589,40410.1293150741
4310,40121.4108879831,2968,39739.3547369128
7805,39201.0189830391,8703,37789.4706705431
10367,34582.2309649064,14931,31978.3620931357
2148,23661.1741263848,1161,23539.5681422036
981,40612.8512149592,519,40559.742306854
2244.5,34464.7173657845,1211.5,34338.0068005716
7823.5,34548.8323419227,8745.5,33129.2088874739
12503.5,37144.311282554,20533.5,33457.7353737085
13844.5,33286.9230501323,23595.5,29019.0468091872
10068,31300.0921159298,14017,28875.8437342929
13554,31357.2192499522,22913,27219.4173092958
19397.5,24925.452085948,34456.5,18643.6820822772
3353,14689.3870447517,6342,13520.0829852602
4139,14346.1331746844,9363,12570.9489720508
3858,35212.0407244982,8134,33685.675774579
693,32425.294406048,392,32382.2918750617
2033,25478.8594847374,2645,25029.4305267833
1614.5,30509.3201959355,1898.5,30196.091037477
701,36165.4632425091,411,36118.8343418545
1008,34180.0793799972,837,34059.8347972549
692,36367.9223061541,390,36325.2919832271
3525,31459.6534678415,6946,30170.1085053661
1085.5,33549.6267651521,956.5,33408.2124026013
4466,20581.9857027167,10801,18515.5611740895
3675,22137.8956469421,7457,20746.8938769503
2652,24978.1172607519,4133,24244.2327479327
3012,28610.7460348561,5255,27655.9401247338
4186,17422.2068286441,9602,15598.1747628651
2674,32772.2103721268,4202,32024.7314053889
2822,37182.2453342922,4623,36352.6501917057
2669,32714.5907508779,4186,31970.2702348238
2783,32470.9327529837,4486,31668.6115935186
4734,37801.3956229544,11907,35511.9653476434
471,35051.5828792615,158,35045.801173899
3830,37656.0672320507,8036,36149.2059805031
724,39373.91062217,444,39321.5319919893
1220,20950.1828840455,1162,20772.4374641105
2410,27982.6561406788,3503,27370.4162976414
1915,35840.2859304475,2432,35429.8041170118
4177,23141.9731018348,9565,21325.3993748159
1841,20562.541455024,2262,20184.3602093993
4402,28859.0873634945,10538,26845.6758843763
2671,28096.6719262006,4191,27351.3907589632
2026,28493.8153994767,2632,28046.7756628735
1275,31911.6031871397,1261,31715.7649096505
2942,39746.3886319889,5013,38839.6932626022
3930,38389.0346643451,8459,36796.732187474
588,37855.974098411,270,37833.0247279774
1385,21541.7150566611,1435,21314.8807056123
733,29556.1014900673,454,29502.1028678687
1574,32981.6786426624,1829,32681.0372073653
352,37865.3757906994,73,37870.8028795263
6402,26153.115833023,18390,22562.3507666639
7140,22905.406781338,20921,18811.8241741086
7709,24047.6053961311,22855,19570.1132917726
6397,26085.6560719905,18374,22498.0494563153
6169,22287.7996476593,17499,18875.6589615507
721,33702.1736891452,440,33650.4792130135
1391,30392.6174356748,1449.5,30163.0092486087
1316,33745.9128385164,1338,33535.8952059168
1831,15255.9044555181,2247,14880.3641151642
4454,19151.9760290846,10745,17096.9375192344
2034,38500.4645379808,2647,38050.6633719673
1415,20536.3359259622,1479,20301.7950941656
3261,33908.5971029989,6036,32799.9168628391
2992,24256.4712880499,5167,23319.4888222116
3118,40827.3170419771,5576,39809.487455531
7574,27429.1639144499,22486,23023.3271694908
3808,21572.5099466576,7935,20086.1626710936
3402,24071.8555905593,6506,22870.0418219013
5457,22591.3636980643,14504,19783.9404365786
6850,24248.2104373761,19995,20337.3854996822
6964,18737.0293425905,20365,14753.0673069688
5758,18471.535681121,15753,15412.1737070246
311.5,26401.5015616271,49.5,26409.5695606472
3414,39589.7282807135,6543,38380.6369595045
2429,24403.7938043372,3546,23783.4008328497
5953,25040.6735686333,16605,21808.8304231539
9084,18926.4687177216,27186,13595.3228947503
6841,29118.6015378396,19964,25213.9375285187
5529,21695.7955702855,14793,18830.2192441708
4550,36566.2183630956,11095,34441.2827393532
6398,24439.154034313,18377,20850.9589755139
4044,14595.461246248,8936,12906.8845195447
5380,23465.6843386588,14138,20732.7629314221
749,10384.9638951653,473,10327.820999856
457,48621.1772002317,137,48619.0927622483
2773,32474.7451491127,4459,31677.6597156926
1644,44525.5626670236,1947,44203.623838992
1214.5,30603.0763676701,1150.5,30427.4862095937
2256,47829.922632777,3121,47291.0042256535
2424,31756.3328788945,3532,31138.6658879618
3160,26412.9693125517,5688,25373.4524058065
1983,31162.5587398113,2546,30731.5239497599
3050,26478.9891625576,5371,25501.3899435992
5431,17946.5307276039,14364,15167.8135613393
9096,24926.427603253,27215,19589.7341082469
2987,24775.0658447472,5154,23840.5931243992
696,43736.82874946,402,43691.8446540375
1595.5,32389.6169089352,1867.5,32081.9460581525
5957,20063.4997431424,16623,16828.0054147804
10166,21740.0530947268,30208,15820.6484661825
8221,36972.6852243346,24404,32191.0991847161
301.5,33988.1229759173,38.5,33997.9669399501
2510,28708.8667609095,3748,28049.6755340341
