"x","y"
17936,22791.7437996197
24287,22792.7708606484
12260,21243.2708606484
3729,33211.7987337865
7945.5,26638.2413750554
18937,28240.297863336
25801,24744.797863336
22915,43238.3612316581
778.5,15840.2413750554
10880,30801.1484835137
22851.5,27060.2413750554
9605.5,33055.7413750554
6260,30586.3401097956
9094,30714.8401097956
17188,43266.8612316581
9645.5,28312.7413750554
27107,31249.963580018
15732,33339.6484835137
22404,31575.463580018
22476,33029.1484835137
14365,33230.8401097956
17894,37045.8401097956
17514,31971.463580018
18681,36623.2987337865
21170,45188.3612316581
4157,31911.1484835137
6105,14460.2987337865
13116,30014.1484835137
18460,26992.8612316581
15586,28362.7987337865
23998,22680.3612316581
13565,32527.1484835137
24170,30000.2987337865
21193,31150.463580018
11985,29169.463580018
17575,31957.7987337865
23391,37187.7987337865
5046,16586.8401097956
11637,30271.6484835137
7757,25672.963580018
11029,22646.8612316581
27830,34628.8612316581
15574,31038.5540559586
2426,32647.8401097956
26036,30817.5540559586
25985,25899.0540559586
27199,26632.5540559586
26573,30897.5540559586
26983,29569.2987337865
5203,30400.2437996197
7934,33358.8612316581
3271,22141.7708606484
2478,28578.297863336
14388,29699.7437996197
14095,28406.7708606484
10565,26541.797863336
17778,29250.2987337865
17354,38533.8612316581
15236,40450.7708606484
30489,42167.2987337865
24422,28010.8612316581
20667,35070.2437996197
23189,27703.2708606484
26670,25422.7708606484
28388,26283.7987337865
26547,29146.3612316581
1191.5,25935.2413750554
18524,37725.7987337865
20297,35318.297863336
27633,29562.2708606484
32007,26532.7987337865
27387,41456.8612316581
22322,34713.2437996197
16893,34886.7708606484
24967,28167.7987337865
19847,28182.8612316581
27789,31038.5540559586
7307,8298.86123165809
4132,34884.5540559586
18860,32309.5540559586
12459.5,29049.7413750554
18239,47340.0540559586
17465,18821.8401097956
22809,40480.297863336
18405,38522.797863336
5093,23251.963580018
21936,17752.3401097956
28259,31787.7437996197
30647,31022.7708606484
15091,22612.7708606484
5747,35322.7987337865
15226.5,27921.2413750554
10131,26276.463580018
2387.5,37576.5
1546.5,37659
5874.5,35377.5
6145.5,26910.5
1280.5,10552
599.5,36902.5
5364.5,12360.5
6557.5,8668.5
2809.5,38435.5
4382.5,37724.5
7937.5,37182.5
10509.5,29876.5
2195.5,11787.5
995.5,37142
10184.5,14943
13708.5,13277.5
2387.5,37576.5
2340.5,37593.5
8154.5,35947
8473.5,29490.5
1926.5,21521
842.5,36485
7457.5,19784.5
8969.5,14723.5
4112.5,37708
6249.5,38471.5
10572.5,37403
13606.5,31574.5
3262.5,22795.5
1489.5,36839
13224.5,20365
17288.5,17410.5
25121,21403.9625079007
27359,24018.4625079007
26580,32856.2917601919
10391,17680.8475677286
5437,11365.7199903799
20070,33428.4110623727
17944,23564.2199903799
10540,26975.3068563949
13645,33191.3068563949
10390,27755.8068563949
25836.5,30664.7388291756
25644,43880.2917601919
25839.5,31280.2388291756
14272,23069.7199903799
26274.5,31218.7388291756
28823.5,29942.2388291756
28199,23809.7593466456
26095,19343.7593466456
26004.5,30352.2388291756
22755,23365.9110623727
24097,24986.7593466456
27513,19581.9110623727
30244.5,30821.2388291756
