"x","y","upper","lower"
1238,18401.8798277524,26495.3202094744,10308.4394460304
1239,18406.7305578322,26499.5678754363,10313.8932402281
1240,18413.6648910581,26505.3276252256,10322.0021568906
1241,18401.5672542321,26506.199638669,10296.9348697952
1242,18416.1359539792,26522.5870958807,10309.6848120777
1243,18430.7419453999,26546.4120483942,10315.0718424056
1244,18446.3937464787,26570.4795170062,10322.3079759511
1245,18436.4776804923,26564.5187707043,10308.4365902804
1246,18437.1361742164,26565.2048912538,10309.067457179
1247,18430.4117878158,26565.3861493449,10295.4374262867
1248,18433.7580291397,26567.9937087494,10299.5223495299
1249,18428.1362490917,26565.6691449958,10290.6033531877
1250,18428.6832396422,26566.0858632908,10291.2806159935
1251,18426.4137406942,26564.1305829167,10288.6968984718
1252,18438.4053127435,26584.8479719742,10291.9626535128
1253,18444.4213959626,26590.5158839682,10298.326907957
1254,18445.0686317062,26591.3190856084,10298.8181778039
1255,18449.0111332217,26593.7965575849,10304.2257088585
1256,18449.796904402,26594.3960336086,10305.1977751954
1257,18453.6956431843,26598.2809967384,10309.1102896302
1258,18452.5734985751,26597.250614198,10307.8963829522
1259,18459.3919271168,26601.8218768877,10316.9619773458
1260,18463.5957825948,26605.6894775502,10321.5020876394
1261,18461.8020139439,26604.2659513538,10319.3380765339
1262,18460.645194473,26603.302350661,10317.988038285
1263.5,18465.1017785012,26607.0582186399,10323.1453383626
1263.5,18468.3044427548,26610.0029006952,10326.6059848143
1265,18461.9263796119,26606.7419114088,10317.110847815
1266,18462.8982274539,26607.9740585993,10317.8223963085
1267,18453.3915033365,26604.1514823527,10302.6315243202
1268,18457.8563673779,26605.6808493847,10310.0318853711
1269,18473.534025709,26603.8880137009,10343.1800377171
1270,18498.9704550048,26616.169866981,10381.7710430286
1271,18502.924431853,26620.6892476496,10385.1596160565
1272,18521.5073689252,26652.3984965551,10390.6162412954
1273,18532.1952983166,26667.06718879,10397.3234078432
1274,18523.3149983064,26661.3447085682,10385.2852880446
1275,18522.4341029502,26661.0821085092,10383.7860973911
1276,18525.0140467161,26663.8285311952,10386.199562237
